account,date,daily_pnl,trades_count,avg_trade_size_usd,win_rate,long_short_ratio,classification,next_day_pnl,profit_bucket
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871,1268,2166.171861198738,0.5670347003154574,0.0,Greed,553818.000465,Profit
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.000465,7380,1818.587241192412,0.3910569105691057,0.0,Fear,102460.17164,Profit
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-06-15,102460.17164,323,1989.5179256965946,0.17647058823529413,0.0,,,
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22488.500821,4838,22504.555828854896,0.4386109962794543,0.0,Fear,,
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.212682,21190,3210.7751864086836,0.46753185464841907,0.0,Fear,6.593538,Loss
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-06-15,6.593538,2,7.0200000000000005,1.0,0.0,,,
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,11671.68,267,2725.7805992509366,0.15355805243445692,0.0,Greed,325441.97721599997,Profit
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,325441.97721599997,2211,8103.972912709181,0.3722297602894618,0.0,Fear,-116594.595363,Loss
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-06-15,-116594.595363,163,12832.663680981595,0.006134969325153374,0.0,,,
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,684215.002602,9883,2693.2837964180917,0.5692603460487706,0.0,Greed,126967.976166,Profit
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,126967.976166,26651,1554.8373344339798,0.3848636073693295,0.0,Fear,24897.574309,Neutral
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-06-15,24897.574309,3650,1658.11421369863,0.363013698630137,0.0,,,
